participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,consent.1.player.id_in_group,consent.1.player.role,consent.1.player.payoff,consent.1.player.consent_agree,consent.1.player.condition
1,0hcdwwx3,,0,2,62,instructions,TasksInstructions,2026-01-27 16:35:31.501767,1,,,0.0,3qc6ms7u,,,,,1,main_experiment,0.0,1.0,1,,0.0,1.0,1
2,3lg9aih9,,0,0,62,,,,0,,,0.0,3qc6ms7u,,,,,1,main_experiment,0.0,1.0,2,,0.0,,1
